,metro,price,minutes,way,provider,fee_percent,views,storey,storeys,rooms,total_area,living_area,kitchen_area,living_total_ratio,rooms_per_total_area,storey_ratio
54,Sviblovo,39000,15,walk,owner,0,178,2.0,12.0,2,38.0,24.0,7.0,0.631578947368421,0.05263157894736842,0.16666666666666666
55,Liublino,65000,7,walk,owner,0,25,6.0,12.0,3,62.0,39.0,8.0,0.6290322580645161,0.04838709677419355,0.5
56,Kuzminki,50000,2,walk,realtor,50,18,8.0,24.0,1,60.0,32.0,12.0,0.5333333333333333,0.016666666666666666,0.3333333333333333
57,Sviblovo,35000,6,transport,realtor,50,33,16.0,16.0,1,40.0,20.0,10.0,0.5,0.025,1.0
58,Kaluzhskaia,35000,15,walk,realtor,50,27,6.0,22.0,1,34.0,16.0,9.0,0.47058823529411764,0.029411764705882353,0.2727272727272727
59,Botanicheskii sad,48000,10,walk,owner,0,31,7.0,16.0,2,57.0,33.0,10.0,0.5789473684210527,0.03508771929824561,0.4375
60,No data,40000,0,walk,realtor,0,161,10.0,13.0,3,100.0,55.0,13.0,0.55,0.03,0.7692307692307693
61,Babushkinskaia,55000,12,walk,realtor,0,25,11.0,11.0,1,32.0,26.0,5.0,0.8125,0.03125,1.0
62,Kantemirovskaia,43000,15,walk,owner,0,457,5.0,5.0,2,45.0,30.0,6.0,0.6666666666666666,0.044444444444444446,1.0
63,Bibirevo,55000,6,transport,realtor,50,29,6.0,12.0,2,52.0,30.0,9.0,0.5769230769230769,0.038461538461538464,0.5
64,Oktiabrskoe pole,120000,7,walk,realtor,100,44,10.0,14.0,3,115.0,70.0,20.0,0.6086956521739131,0.02608695652173913,0.7142857142857143
65,Smolenskaia,120000,7,walk,realtor,0,29,2.0,12.0,2,53.0,33.0,8.0,0.6226415094339622,0.03773584905660377,0.16666666666666666
66,Mezhdunarodnaia,260000,0,walk,realtor,50,154,74.0,13.0,1,51.0,31.0,20.0,0.6078431372549019,0.0196078431372549,5.6923076923076925
67,Kolomenskaia,45000,15,walk,agency,50,57,5.0,5.0,2,44.0,29.0,6.0,0.6590909090909091,0.045454545454545456,1.0
68,Ramenki,50000,5,transport,agency,50,41,10.0,14.0,2,45.0,30.0,8.0,0.6666666666666666,0.044444444444444446,0.7142857142857143
69,Dobryninskaia,75000,3,walk,agency,50,42,4.0,7.0,1,40.0,20.0,6.0,0.5,0.025,0.5714285714285714
70,Vykhino,45000,7,walk,agency,50,1176,12.0,17.0,1,38.0,16.0,9.0,0.42105263157894735,0.02631578947368421,0.7058823529411765
71,Shabolovskaia,200000,8,walk,realtor,0,45,2.0,21.0,3,125.0,80.0,10.0,0.64,0.024,0.09523809523809523
72,Liublino,28000,5,walk,realtor,0,206,3.0,5.0,2,55.0,32.0,12.0,0.5818181818181818,0.03636363636363636,0.6
73,Planernaia,55000,20,walk,realtor,40,65,10.0,12.0,2,46.0,31.0,7.0,0.6739130434782609,0.043478260869565216,0.8333333333333334
74,Akademicheskaia,70000,14,walk,realtor,0,95,5.0,5.0,2,47.0,32.0,7.0,0.6808510638297872,0.0425531914893617,1.0
75,Vystavochnaia,185000,4,walk,owner,0,112,4.0,11.0,1,53.0,14.0,24.0,0.2641509433962264,0.018867924528301886,0.36363636363636365
76,Kuntcevskaia,95000,15,walk,owner,0,169,3.0,5.0,1,33.0,19.0,7.0,0.5757575757575758,0.030303030303030304,0.6
77,Shelepikha,105000,20,walk,owner,0,70,5.0,5.0,3,75.0,50.0,8.0,0.6666666666666666,0.04,1.0
78,Skhodnenskaia,26000,14,walk,realtor,50,149,4.0,9.0,1,37.0,10.0,7.0,0.2702702702702703,0.02702702702702703,0.4444444444444444
79,Aviamotornaia,65000,2,walk,realtor,30,100,3.0,5.0,3,75.0,50.0,8.0,0.6666666666666666,0.04,0.6
80,Seligerskaia,33000,0,walk,agency,80,7,10.0,16.0,1,38.0,20.0,9.0,0.5263157894736842,0.02631578947368421,0.625
81,Medvedkovo,55000,0,walk,agency,70,11,8.0,33.0,2,41.0,28.0,8.0,0.6829268292682927,0.04878048780487805,0.24242424242424243
82,Skhodnenskaia,45000,0,walk,agency,50,10,4.0,10.0,1,40.0,20.0,9.0,0.5,0.025,0.4
83,Perovo,38000,0,walk,agency,100,13,4.0,12.0,2,52.0,29.0,8.0,0.5576923076923077,0.038461538461538464,0.3333333333333333
84,Kantemirovskaia,36000,0,walk,agency,80,8,14.0,17.0,1,39.0,19.0,8.0,0.48717948717948717,0.02564102564102564,0.8235294117647058
85,Kommunarka,56000,0,walk,agency,50,25,15.0,17.0,2,64.0,36.0,12.0,0.5625,0.03125,0.8823529411764706
86,Babushkinskaia,30000,0,walk,agency,100,23,3.0,12.0,2,37.0,25.0,6.0,0.6756756756756757,0.05405405405405406,0.25
87,Seligerskaia,35000,0,walk,agency,100,9,3.0,14.0,1,38.0,18.0,10.0,0.47368421052631576,0.02631578947368421,0.21428571428571427
88,Seligerskaia,39000,0,walk,agency,80,16,10.0,12.0,1,42.0,21.0,9.0,0.5,0.023809523809523808,0.8333333333333334
89,Kommunarka,33000,0,walk,agency,100,18,5.0,12.0,1,35.0,17.0,10.0,0.4857142857142857,0.02857142857142857,0.4166666666666667
90,Ozernaia,68000,0,walk,agency,70,11,6.0,14.0,3,100.0,52.0,12.0,0.52,0.03,0.42857142857142855
91,Sviblovo,42000,0,walk,agency,50,19,11.0,24.0,1,44.0,20.0,11.0,0.45454545454545453,0.022727272727272728,0.4583333333333333
92,Skhodnenskaia,38000,0,walk,agency,100,31,3.0,5.0,2,41.0,26.0,6.0,0.6341463414634146,0.04878048780487805,0.6
93,Prazhskaia,50000,0,walk,agency,100,23,7.0,9.0,2,45.0,30.0,7.0,0.6666666666666666,0.044444444444444446,0.7777777777777778
94,Tcaritcyno,28000,0,walk,agency,100,14,2.0,12.0,1,39.0,20.0,9.0,0.5128205128205128,0.02564102564102564,0.16666666666666666
95,Preobrazhenskaia ploshchad,35000,0,walk,agency,100,9,2.0,9.0,1,36.0,20.0,7.0,0.5555555555555556,0.027777777777777776,0.2222222222222222
96,Tekstilshchiki,43000,0,walk,agency,50,31,1.0,5.0,2,45.0,30.0,8.0,0.6666666666666666,0.044444444444444446,0.2
97,Strogino,50000,0,walk,agency,80,31,19.0,24.0,2,45.0,23.0,6.0,0.5111111111111111,0.044444444444444446,0.7916666666666666
98,Bibirevo,50000,0,walk,agency,100,20,4.0,12.0,2,53.0,39.0,10.0,0.7358490566037735,0.03773584905660377,0.3333333333333333
99,No data,55000,0,walk,agency,80,34,13.0,14.0,2,55.0,33.0,7.0,0.6,0.03636363636363636,0.9285714285714286
100,Medvedkovo,35000,0,walk,agency,100,51,8.0,9.0,2,45.0,29.0,6.0,0.6444444444444445,0.044444444444444446,0.8888888888888888
101,Ulitca Akademika Iangelia,50000,0,walk,agency,100,41,2.0,9.0,3,66.0,40.0,6.0,0.6060606060606061,0.045454545454545456,0.2222222222222222
102,Kommunarka,38000,0,walk,agency,70,45,2.0,9.0,2,55.0,34.0,11.0,0.6181818181818182,0.03636363636363636,0.2222222222222222
